Epoch,TrainLoss,MeanObjective,BestObjective,FitnessStd,Stddev,LR,TimeSec,Optimizer
1,-15.821862757205963,-15.821862757205963,-16.034265518188477,0.1286412038356624,0.05,0.001,2.8350884914398193,adamw
2,-15.925637662410736,-15.925637662410736,-16.251361846923828,0.1458553798643233,0.05,0.001,2.5652432441711426,adamw
3,-15.813902795314789,-15.813902795314789,-16.05911636352539,0.1224063845824579,0.05,0.001,2.72654390335083,adamw
4,-15.749155104160309,-15.749155104160309,-15.948626518249512,0.12657427942985344,0.05,0.001,2.947357654571533,adamw
5,-15.710262835025787,-15.710262835025787,-16.005130767822266,0.1667240068903217,0.05,0.001,2.623802900314331,adamw
6,-15.957474946975708,-15.957474946975708,-16.11981964111328,0.1001575772661217,0.05,0.001,2.5257606506347656,adamw
7,-15.710454881191254,-15.710454881191254,-15.973384857177734,0.16511567972709573,0.05,0.001,2.567446231842041,adamw
8,-15.70901083946228,-15.70901083946228,-15.905192375183105,0.10790992956726951,0.05,0.001,3.13403058052063,adamw
9,-15.549914002418518,-15.549914002418518,-15.775751113891602,0.1482283449346467,0.05,0.001,2.558095693588257,adamw
10,-15.88563883304596,-15.88563883304596,-16.137788772583008,0.15006574384135485,0.05,0.001,2.5176761150360107,adamw
11,-15.791691303253174,-15.791691303253174,-16.140535354614258,0.16991388469067806,0.05,0.001,2.5149738788604736,adamw
12,-15.876386880874634,-15.876386880874634,-16.029287338256836,0.10656311798212935,0.05,0.001,2.540585517883301,adamw
13,-15.854021966457367,-15.854021966457367,-16.31144905090332,0.2031367452462125,0.05,0.001,3.060101270675659,adamw
14,-15.789979815483093,-15.789979815483093,-15.939404487609863,0.07506331807893314,0.05,0.001,2.5366554260253906,adamw
15,-15.765876948833466,-15.765876948833466,-16.016157150268555,0.15856922253055286,0.05,0.001,2.493651866912842,adamw
16,-15.913374125957489,-15.913374125957489,-16.12078857421875,0.12396182993956857,0.05,0.001,2.483004093170166,adamw
17,-15.737075328826904,-15.737075328826904,-16.04827117919922,0.12870454434748946,0.05,0.001,2.8534536361694336,adamw
18,-15.702646017074585,-15.702646017074585,-15.916520118713379,0.15414345923476774,0.05,0.001,2.814295768737793,adamw
19,-15.737511396408081,-15.737511396408081,-15.954769134521484,0.14206417736994165,0.05,0.001,2.4921071529388428,adamw
20,-15.913457453250885,-15.913457453250885,-16.078144073486328,0.12009223699255292,0.05,0.001,2.525385856628418,adamw
21,-15.897917807102203,-15.897917807102203,-16.146114349365234,0.13170093140115957,0.05,0.001,2.5192058086395264,adamw
22,-15.97429084777832,-15.97429084777832,-16.147016525268555,0.10338465144421988,0.05,0.001,3.0929062366485596,adamw
23,-16.06761807203293,-16.06761807203293,-16.40877342224121,0.1575330150867486,0.05,0.001,2.5007688999176025,adamw
24,-15.884829640388489,-15.884829640388489,-16.119171142578125,0.10288002319708486,0.05,0.001,2.4997200965881348,adamw
25,-15.862384021282196,-15.862384021282196,-16.029048919677734,0.08515424186575526,0.05,0.001,2.5050153732299805,adamw
26,-15.866773664951324,-15.866773664951324,-16.290061950683594,0.19628854447241015,0.05,0.001,2.7150583267211914,adamw
27,-15.881527125835419,-15.881527125835419,-16.101213455200195,0.15435720438675943,0.05,0.001,2.974468231201172,adamw
28,-15.781607687473297,-15.781607687473297,-16.04501724243164,0.17132630792361833,0.05,0.001,2.5559511184692383,adamw
29,-15.997959733009338,-15.997959733009338,-16.240192413330078,0.15688500774150632,0.05,0.001,2.493457078933716,adamw
30,-16.031320989131927,-16.031320989131927,-16.218769073486328,0.08763369804495534,0.05,0.001,2.5016443729400635,adamw
31,-16.05187851190567,-16.05187851190567,-16.378673553466797,0.17373199960692584,0.05,0.001,3.192988395690918,adamw
32,-15.88635641336441,-15.88635641336441,-16.087377548217773,0.13710735978256633,0.05,0.001,2.527451992034912,adamw
33,-15.984669744968414,-15.984669744968414,-16.296161651611328,0.17364772850242252,0.05,0.001,2.514354705810547,adamw
34,-15.930635392665863,-15.930635392665863,-16.19196319580078,0.15432323097254838,0.05,0.001,2.4617550373077393,adamw
35,-16.098752200603485,-16.098752200603485,-16.307552337646484,0.16231116546931068,0.05,0.001,2.6170737743377686,adamw
36,-15.888750910758972,-15.888750910758972,-16.05488395690918,0.13991180055049202,0.05,0.001,3.065629243850708,adamw
37,-16.044412076473236,-16.044412076473236,-16.259849548339844,0.11913975410713862,0.05,0.001,2.500871419906616,adamw
38,-15.806783676147461,-15.806783676147461,-15.975456237792969,0.08271590805977294,0.05,0.001,2.4921820163726807,adamw
39,-15.841802716255188,-15.841802716255188,-16.191617965698242,0.1720957844215936,0.05,0.001,2.4752259254455566,adamw
40,-15.881281018257141,-15.881281018257141,-16.199066162109375,0.21591425821251076,0.05,0.001,2.869964838027954,adamw
41,-15.81245470046997,-15.81245470046997,-16.02084732055664,0.09516475017933844,0.05,0.001,2.7147436141967773,adamw
42,-16.09289926290512,-16.09289926290512,-16.22703742980957,0.09077585655449609,0.05,0.001,2.5229179859161377,adamw
43,-15.744074404239655,-15.744074404239655,-15.922433853149414,0.12414119717933499,0.05,0.001,2.4814889430999756,adamw
44,-15.92923617362976,-15.92923617362976,-16.13075828552246,0.11921803564770213,0.05,0.001,2.497814655303955,adamw
45,-15.946347951889038,-15.946347951889038,-16.294204711914062,0.1711235566668328,0.05,0.001,3.162980079650879,adamw
46,-15.882757902145386,-15.882757902145386,-16.116641998291016,0.13373502973128645,0.05,0.001,2.475020170211792,adamw
47,-15.91970705986023,-15.91970705986023,-16.31253433227539,0.1534010785662979,0.05,0.001,2.518832206726074,adamw
48,-16.11072963476181,-16.11072963476181,-16.450937271118164,0.19017560385920657,0.05,0.001,2.5040078163146973,adamw
49,-15.929424822330475,-15.929424822330475,-16.308975219726562,0.1806382301959694,0.05,0.001,2.671341896057129,adamw
50,-15.927308440208435,-15.927308440208435,-16.34239959716797,0.1631402607979387,0.05,0.001,2.85815691947937,adamw
51,-15.900262475013733,-15.900262475013733,-16.215961456298828,0.13906800140615327,0.05,0.001,2.512535333633423,adamw
52,-16.029484391212463,-16.029484391212463,-16.231351852416992,0.13454871187189793,0.05,0.001,2.482172727584839,adamw
53,-15.89773279428482,-15.89773279428482,-16.09469985961914,0.11004627786835253,0.05,0.001,2.501018762588501,adamw
54,-15.807352840900421,-15.807352840900421,-15.991157531738281,0.11607972853705092,0.05,0.001,3.008817195892334,adamw
55,-16.013906836509705,-16.013906836509705,-16.239261627197266,0.14704647296381362,0.05,0.001,2.5408034324645996,adamw
56,-15.967385530471802,-15.967385530471802,-16.10053253173828,0.07601897067850567,0.05,0.001,2.5036938190460205,adamw
57,-16.059610426425934,-16.059610426425934,-16.325603485107422,0.1427919721057009,0.05,0.001,2.530529499053955,adamw
58,-16.056966245174408,-16.056966245174408,-16.196365356445312,0.09230862644099558,0.05,0.001,2.482095241546631,adamw
59,-16.054643750190735,-16.054643750190735,-16.165184020996094,0.08322834386214205,0.05,0.001,3.0557618141174316,adamw
60,-16.129353880882263,-16.129353880882263,-16.403451919555664,0.12487873940834567,0.05,0.001,2.523784637451172,adamw
61,-16.276068091392517,-16.276068091392517,-16.543346405029297,0.1347336412547595,0.05,0.001,2.4862380027770996,adamw
62,-15.965633630752563,-15.965633630752563,-16.052507400512695,0.08471609938163789,0.05,0.001,2.4958715438842773,adamw
63,-16.02226483821869,-16.02226483821869,-16.16448974609375,0.07727813593293341,0.05,0.001,2.804330348968506,adamw
64,-16.107123970985413,-16.107123970985413,-16.264495849609375,0.10937096788561892,0.05,0.001,2.765043258666992,adamw
65,-16.151634693145752,-16.151634693145752,-16.265655517578125,0.08416163049869163,0.05,0.001,2.5176503658294678,adamw
